"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"2012","Eswatini",2020-04-10,80,12,0,0,0,7,0,5,1,0,0.4,0,0
"2043","Ethiopia",2020-04-10,80,65,9,3,1,4,0,58,0.1,0,0.1,0,0
"2054","Fiji",2020-04-10,80,16,1,0,0,0,0,16,1.8,0.1,1.8,0,0
"2080","Finland",2020-04-10,80,2769,164,48,6,300,0,2421,50,3,43.7,29,13
"2178","France",2020-04-10,80,125931,7150,13215,987,25195,1782,87521,192.9,11,134.1,42,35
"2241","Gabon",2020-04-10,80,44,0,1,0,1,0,42,2,0,1.9,0,0
"2287","Georgia",2020-04-10,80,234,16,3,0,54,3,177,5.9,0.4,4.4,12,0
"2336","Germany",2020-04-10,80,122171,3990,2767,160,53913,1506,65491,145.8,4.8,78.2,41,27
"2399","Ghana",2020-04-10,80,378,0,6,0,4,1,368,1.2,0,1.2,16,0
"2428","Greece",2020-04-10,80,2011,56,92,5,269,0,1650,19.3,0.5,15.8,29,21
"2456","Grenada",2020-04-10,80,14,2,0,0,0,0,14,12.4,1.8,12.4,0,0
"2470","Guatemala",2020-04-10,80,126,31,3,0,17,0,106,0.7,0.2,0.6,1,0
"2505","Guinea",2020-04-10,80,212,18,0,0,15,4,197,1.6,0.1,1.5,7,0
"2531","Guinea-Bissau",2020-04-10,80,36,0,0,0,0,0,36,1.8,0,1.8,0,0
"2543","Guyana",2020-04-10,80,37,0,6,0,8,0,23,4.7,0,2.9,0,0
"2575","Haiti",2020-04-10,80,31,1,2,0,0,0,29,0.3,0,0.3,0,0
"2623","Holy See (Vatican City)",2020-04-10,80,8,0,0,0,2,0,6,800,0,600,0,0
"2645","Honduras",2020-04-10,80,382,39,23,0,7,1,352,3.9,0.4,3.6,13,10
"2720","Hong Kong",2020-04-10,80,989,16,4,0,309,16,676,13.2,0.2,9,40,0
"2757","Hungary",2020-04-10,80,1190,210,77,11,112,16,1001,12.3,2.2,10.4,21,17
"2780","Iceland",2020-04-10,80,1675,27,7,1,751,63,917,491.2,7.9,268.9,30,0
"2834","India",2020-04-10,80,7598,873,246,20,774,154,6578,0.6,0.1,0.5,28,19
"2932","Indonesia",2020-04-10,80,3512,219,306,26,282,30,2924,1.3,0.1,1.1,27,24
"2933","Iran (Islamic Republic of)",2020-04-10,80,68192,1972,4232,122,35465,3156,28495,81.2,2.3,33.9,45,47
"3019","Iraq",2020-04-10,80,1279,47,70,1,550,54,659,3.2,0.1,1.6,29,28
"3049","Ireland",2020-04-10,80,8089,1515,287,24,25,0,7777,163.8,30.7,157.5,28,16
"3096","Israel",2020-04-10,80,10408,440,95,9,1183,172,9130,120.2,5.1,105.5,30,15
"3156","Italy",2020-04-10,80,147577,3951,18849,570,30455,1985,98273,244.1,6.5,162.5,48,46
"3214","Jamaica",2020-04-10,80,63,0,4,0,13,1,46,2.1,0,1.6,0,0
"3274","Japan",2020-04-10,80,5530,863,99,5,685,53,4746,4.4,0.7,3.8,50,33
"3332","Jordan",2020-04-10,80,372,0,7,0,170,9,195,3.6,0,1.9,20,0
"3360","Kazakhstan",2020-04-10,80,812,31,10,2,64,4,738,4.3,0.2,3.9,16,1
"3374","Kenya",2020-04-10,80,189,5,7,0,22,10,160,0.4,0,0.3,9,0
"3416","Kosovo",2020-04-10,80,250,66,7,2,52,22,191,13.9,3.7,10.6,11,0
"3425","Kuwait",2020-04-10,80,993,83,1,0,123,12,869,23.2,1.9,20.3,28,0
"3472","Kyrgyzstan",2020-04-10,80,298,18,5,1,35,0,258,4.6,0.3,4,11,0
"3497","Lao People's Democratic Republic",2020-04-10,80,16,0,0,0,0,0,16,0.2,0,0.2,0,0
"3516","Latvia",2020-04-10,80,612,23,3,0,16,0,593,32.4,1.2,31.4,22,0
"3570","Lebanon",2020-04-10,80,609,27,20,1,76,9,513,8.9,0.4,7.5,27,13
"3600","Liberia",2020-04-10,80,37,6,5,1,3,0,29,0.7,0.1,0.6,0,0
"3632","Libya",2020-04-10,80,24,0,1,0,8,0,15,0.3,0,0.2,0,0
"3672","Liechtenstein",2020-04-10,80,79,1,1,0,55,0,23,207.9,2.6,60.5,0,0
"3682","Lithuania",2020-04-10,80,999,44,22,6,54,46,923,36.7,1.6,33.9,20,7
